Year,Make,Model,Price,Color
2007,Toyota ,Toyota Corolla,21735,Brown
2007,Toyota ,Toyota Rav4,21090,Red
2007,Volkswagen ,Volkswagen Touran,21090,Blue
2007,Honda ,Honda CR-V,19801,Gray
2007,Toyota ,Toyota Yaris,18235,Black
2007,Audi ,Audi A3,18051,Orange
2007,Audi ,Audi A4,17867,White
2007,Volkswagen ,Volkswagen Polo,15380,Blue
2007,Saab ,Saab 9-3,15380,Gray
2007,Opel ,Opel Astra,13999,Pink
2007,Ford ,Ford Focus,13538,Yellow
2007,Peugeot ,Peugeot 207,12801,White
2007,Ford ,Ford S-Max,10775,Orange
2007,Volvo ,Volvo V50,10223,Yellow
2007,Volkswagen ,Volkswagen Golf,61614,Pink
2007,Volkswagen ,Volkswagen Passat,55904,Orange
2007,Toyota ,Toyota Auris,40800,Brown
2007,Volvo ,Volvo V70,37116,Purple
2007,Toyota ,Toyota Avensis,35274,Gray
2007,Toyota ,Toyota Rav4,33892,Black
2007,Honda ,Honda CR-V,32142,Gray
2007,Peugeot ,Peugeot 307,30853,Brown
2007,Skoda ,Skoda Octavia,25695,Gray
2007,Ford ,Ford Focus,25235,Pink
2007,Toyota ,Toyota Yaris,24866,Red
2007,Volkswagen ,Volkswagen Touran,24130,Gray
2007,Volkswagen ,Volkswagen Polo,23761,Blue
2007,Toyota ,Toyota Corolla,23024,Red
2007,Saab ,Saab 9-3,20630,Orange
2007,Audi ,Audi A4,20353,Brown
2007,Peugeot ,Peugeot 207,20353,Purple
2007,Audi ,Audi A3,19893,Gray
2007,Opel ,Opel Astra,17222,Black
2007,Volvo ,Volvo V50,10223,Black
2007,Volkswagen ,Volkswagen Golf,46970,Yellow
2007,Volkswagen ,Volkswagen Passat,46878,Gray
2007,Toyota ,Toyota Avensis,44852,Red
2007,Honda ,Honda CR-V,43102,Gray
2007,Toyota ,Toyota Auris,33432,Black
2007,Volvo ,Volvo V70,33155,White
2007,Toyota ,Toyota Rav4,29011,Gray
2007,Skoda ,Skoda Octavia,27169,Black
2007,Ford ,Ford Focus,26616,Gray
2007,Peugeot ,Peugeot 307,24498,Red
2007,Volkswagen ,Volkswagen Polo,20906,Yellow
2007,Opel ,Opel Astra,19709,Purple
2007,Toyota ,Toyota Yaris,18604,Blue
2007,Volkswagen ,Volkswagen Touran,17590,Orange
2007,Audi ,Audi A4,17314,Brown
2007,Saab ,Saab 9-3,14828,Yellow
2007,Audi ,Audi A3,14459,Red
2007,Peugeot ,Peugeot 207,14275,Yellow
2007,Toyota ,Toyota Corolla,10867,Yellow
2007,Volvo ,Volvo V50,7275,Yellow
2007,Volkswagen ,Volkswagen Passat,74692,Yellow
2007,Toyota ,Toyota Avensis,54062,Yellow
2007,Volvo ,Volvo V70,46694,Blue
2007,Ford ,Ford Mondeo,43470,Yellow
2007,Volkswagen ,Volkswagen Golf,41168,Black
2007,Toyota ,Toyota Auris,38681,Gray
2007,Toyota ,Toyota Rav4,36471,Red
2007,Peugeot ,Peugeot 307,30484,Green
2007,Volvo ,Volvo V50,28735,Pink
2007,Ford ,Ford Focus,27721,Brown
2007,Skoda ,Skoda Octavia,26708,White
2007,Audi ,Audi A4,22748,Brown
2007,Peugeot ,Peugeot 207,22011,Green
2007,Honda ,Honda CR-V,21459,Red
2007,Toyota ,Toyota Yaris,21090,Brown
2007,Volkswagen ,Volkswagen Touran,20077,Orange
2007,Volkswagen ,Volkswagen Polo,19709,Green
2007,Opel ,Opel Astra,18880,Blue
2007,Audi ,Audi A3,16301,Gray
2007,Toyota ,Toyota Corolla,13722,Pink
2007,Volkswagen ,Volkswagen Passat,59312,Orange
2007,Mitsubishi ,Mitsubishi Outlander,48260,White
2007,Volkswagen ,Volkswagen Golf,43839,Black
2007,Toyota ,Toyota Avensis,42642,Yellow
2007,Ford ,Ford Mondeo,39694,Purple
2007,Toyota ,Toyota Auris,38865,Pink
2007,Toyota ,Toyota Rav4,31866,Black
2007,Volvo ,Volvo V70,25603,Purple
2007,Skoda ,Skoda Octavia,23761,Gray
2007,Audi ,Audi A4,20538,Pink
2007,Toyota ,Toyota Yaris,19340,Black
2007,Volkswagen ,Volkswagen Polo,19340,Black
2007,Peugeot ,Peugeot 307,19248,Blue
2007,Volkswagen ,Volkswagen Touran,19248,White
2007,Ford ,Ford Focus,18419,Blue
2007,Toyota ,Toyota Corolla,16117,Red
2007,Peugeot ,Peugeot 207,15012,Yellow
2007,Audi ,Audi A3,14367,Green
2007,Honda ,Honda CR-V,13446,Yellow
2007,Opel ,Opel Astra,13446,White
2007,Volkswagen ,Volkswagen Golf,43563,Pink
2007,Volkswagen ,Volkswagen Passat,42273,Brown
2007,Mitsubishi ,Mitsubishi Outlander,37760,Purple
2007,Volvo ,Volvo V70,35366,Gray
2007,Toyota ,Toyota Avensis,27906,Pink
2007,Toyota ,Toyota Auris,26432,White
2007,Ford ,Ford Mondeo,25879,Red
2007,Ford ,Ford Focus,25511,Gray
2007,Toyota ,Toyota Rav4,22564,White
2007,Toyota ,Toyota Yaris,21551,Yellow
2007,Skoda ,Skoda Octavia,17683,White
2007,Honda ,Honda CR-V,17498,White
2007,Volkswagen ,Volkswagen Touran,16301,Red
2007,Peugeot ,Peugeot 307,15288,Black
2007,Audi ,Audi A4,14459,Yellow
2007,Opel ,Opel Astra,13814,Gray
2007,Volkswagen ,Volkswagen Polo,13722,White
2007,Peugeot ,Peugeot 207,11512,Gray
2007,Audi ,Audi A3,11328,White
2007,Toyota ,Toyota Corolla,8749,Brown
2007,Volkswagen ,Volkswagen Golf,62167,Blue
2007,Volvo ,Volvo V70,56641,White
2007,Toyota ,Toyota Avensis,49273,Blue
2007,Volkswagen ,Volkswagen Passat,45220,Gray
2007,Toyota ,Toyota Auris,33984,Red
2007,Volkswagen ,Volkswagen Touran,32787,Blue
2007,Ford ,Ford Mondeo,30484,Blue
2007,Volkswagen ,Volkswagen Polo,25419,Red
2007,Toyota ,Toyota Rav4,24314,Gray
2007,Honda ,Honda CR-V,24130,Red
2007,Peugeot ,Peugeot 307,23761,Purple
2007,Skoda ,Skoda Octavia,23577,Green
2007,Toyota ,Toyota Yaris,22748,White
2007,Mitsubishi ,Mitsubishi Outlander,21735,Orange
2007,Peugeot ,Peugeot 207,21459,Blue
2007,Ford ,Ford Focus,20906,Blue
2007,Audi ,Audi A3,17590,Gray
2007,Audi ,Audi A4,16854,Pink
2007,Opel ,Opel Astra,15104,Black
2007,Toyota ,Toyota Corolla,7828,Purple
2007,Volkswagen ,Volkswagen Golf,48812,Gray
2007,Volkswagen ,Volkswagen Passat,48536,Pink
2007,Toyota ,Toyota Avensis,46233,White
2007,Volvo ,Volvo V70,37668,Yellow
2007,Toyota ,Toyota Auris,33063,Brown
2007,Nissan ,Nissan Qashqai,30669,Purple
2007,Honda ,Honda CR-V,28919,Brown
2007,Skoda ,Skoda Octavia,23761,Brown
2007,Toyota ,Toyota Rav4,23301,Black
2007,Ford ,Ford Mondeo,22840,Blue
2007,Toyota ,Toyota Yaris,19525,Black
2007,Volkswagen ,Volkswagen Touran,19064,Purple
2007,Peugeot ,Peugeot 207,17222,Black
2007,Ford ,Ford Focus,14643,Yellow
2007,Opel ,Opel Astra,14183,Brown
2007,Peugeot ,Peugeot 307,12893,Blue
2007,Toyota ,Toyota Corolla,11144,Gray
2007,Mitsubishi ,Mitsubishi Outlander,10867,Blue
2007,Audi ,Audi A4,10867,Pink
2007,Volkswagen ,Volkswagen Polo,9578,Red
2007,Ford ,Ford Mondeo,42089,Orange
2007,Volkswagen ,Volkswagen Golf,35918,Yellow
2007,Volvo ,Volvo V70,35366,Blue
2007,Volkswagen ,Volkswagen Passat,35089,Black
2007,Honda ,Honda CR-V,30853,Red
2007,Skoda ,Skoda Octavia,28366,Brown
2007,Toyota ,Toyota Avensis,24682,Black
2007,Toyota ,Toyota Auris,24682,Brown
2007,Saab ,Saab 9-3,23853,Brown
2007,Mitsubishi ,Mitsubishi Outlander,20814,Black
2007,Toyota ,Toyota Rav4,20722,Pink
2007,Ford ,Ford Focus,14459,Red
2007,Audi ,Audi A4,12801,Purple
2007,Volkswagen ,Volkswagen Touran,12433,Pink
2007,Opel ,Opel Astra,11972,Pink
2007,Toyota ,Toyota Yaris,10591,Orange
2007,Volkswagen ,Volkswagen Polo,9946,Yellow
2007,Toyota ,Toyota Corolla,8288,White
2007,Peugeot ,Peugeot 207,5986,Yellow
2007,Peugeot ,Peugeot 307,4328,Black
2008,Ford ,Ford Mondeo,54154,Yellow
2008,Volkswagen ,Volkswagen Golf,39142,Yellow
2008,Honda ,Honda CR-V,36563,Red
2008,Volkswagen ,Volkswagen Passat,33616,Yellow
2008,Toyota ,Toyota Rav4,30484,Pink
2008,Toyota ,Toyota Avensis,29656,Pink
2008,Toyota ,Toyota Auris,29563,Purple
2008,Volvo ,Volvo V70,29011,Black
2008,Nissan ,Nissan Qashqai,25787,White
2008,Mitsubishi ,Mitsubishi Outlander,21367,White
2008,Toyota ,Toyota Corolla,21090,Purple
2008,Toyota ,Toyota Prius,19985,Red
2008,Skoda ,Skoda Octavia,19893,Yellow
2008,Peugeot ,Peugeot 207,18604,Orange
2008,Toyota ,Toyota Yaris,18235,Purple
2008,Ford ,Ford Focus,15933,Yellow
2008,BMW ,BMW 3-serie,14551,Blue
2008,Audi ,Audi A4,14459,Yellow
2008,Nissan ,Nissan X-Trail,13262,Blue
2008,Peugeot ,Peugeot 308,12433,Black
2008,Ford ,Ford Mondeo,57470,Orange
2008,Volkswagen ,Volkswagen Passat,50746,Orange
2008,Volkswagen ,Volkswagen Golf,44944,Yellow
2008,Volvo ,Volvo V70,36102,Red
2008,Toyota ,Toyota Auris,31498,Gray
2008,Volkswagen ,Volkswagen Tiguan,31313,White
2008,Toyota ,Toyota Avensis,29011,Red
2008,Nissan ,Nissan Qashqai,25051,Brown
2008,Nissan ,Nissan X-Trail,24958,Blue
2008,Mitsubishi ,Mitsubishi Outlander,23669,Blue
2008,Toyota ,Toyota Rav4,23024,Gray
2008,Ford ,Ford Focus,21643,Gray
2008,Skoda ,Skoda Octavia,20722,Gray
2008,Toyota ,Toyota Yaris,20446,Purple
2008,Honda ,Honda CR-V,20169,Gray
2008,Audi ,Audi A4,18419,Red
2008,BMW ,BMW 3-serie,16946,Black
2008,Toyota ,Toyota Prius,15196,Pink
2008,Peugeot ,Peugeot 207,13262,Yellow
2008,Toyota ,Toyota Corolla,13078,Gray
2008,Volkswagen ,Volkswagen Golf,41721,Brown
2008,Mitsubishi ,Mitsubishi Outlander,39602,White
2008,Volkswagen ,Volkswagen Passat,36471,Brown
2008,Ford ,Ford Mondeo,32326,Blue
2008,Toyota ,Toyota Auris,26893,Pink
2008,Toyota ,Toyota Avensis,26340,Pink
2008,Volvo ,Volvo V70,25879,Brown
2008,Volkswagen ,Volkswagen Tiguan,24590,Gray
2008,Nissan ,Nissan Qashqai,23209,Purple
2008,Ford ,Ford Focus,22656,Gray
2008,Toyota ,Toyota Yaris,22011,Purple
2008,Audi ,Audi A4,21643,Brown
2008,Skoda ,Skoda Octavia,19156,Brown
2008,Skoda ,Skoda Fabia,19064,Green
2008,Toyota ,Toyota Rav4,18419,Orange
2008,Honda ,Honda CR-V,13907,Black
2008,Nissan ,Nissan X-Trail,13814,Orange
2008,Toyota ,Toyota Corolla,12893,Black
2008,Peugeot ,Peugeot 207,11972,Black
2008,Toyota ,Toyota Prius,8749,Black
2008,Volkswagen ,Volkswagen Golf,55075,Purple
2008,Volkswagen ,Volkswagen Passat,44023,Blue
2008,Mitsubishi ,Mitsubishi Outlander,43655,Pink
2008,Volvo ,Volvo V70,37300,Yellow
2008,Toyota ,Toyota Auris,34168,Pink
2008,Ford ,Ford Mondeo,32603,Brown
2008,Toyota ,Toyota Avensis,31958,Gray
2008,Ford ,Ford Focus,31498,Green
2008,Audi ,Audi A4,25972,Orange
2008,Skoda ,Skoda Octavia,24682,Brown
2008,Toyota ,Toyota Yaris,23393,Yellow
2008,Honda ,Honda CR-V,22840,Green
2008,Nissan ,Nissan Qashqai,20538,Red
2008,Audi ,Audi A3,20446,Blue
2008,Volkswagen ,Volkswagen Tiguan,20353,Orange
2008,Peugeot ,Peugeot 308,19617,Red
2008,BMW ,BMW 3-serie,19156,Yellow
2008,Toyota ,Toyota Rav4,17498,Orange
2008,Toyota ,Toyota Corolla,16946,White
2008,Nissan ,Nissan X-Trail,14920,Blue
2008,Volvo ,Volvo V70,41168,Pink
2008,Volkswagen ,Volkswagen Golf,38313,Yellow
2008,Ford ,Ford Focus,38313,White
2008,Volkswagen ,Volkswagen Passat,34261,Gray
2008,Toyota ,Toyota Auris,29840,Brown
2008,Nissan ,Nissan Qashqai,28550,Brown
2008,Toyota ,Toyota Avensis,27998,Red
2008,Ford ,Ford Mondeo,27906,Brown
2008,Audi ,Audi A4,26616,Red
2008,Skoda ,Skoda Octavia,24682,White
2008,Volkswagen ,Volkswagen Tiguan,20077,Orange
2008,Peugeot ,Peugeot 207,19064,Purple
2008,Mitsubishi ,Mitsubishi Outlander,18880,Green
2008,Honda ,Honda CR-V,17590,Pink
2008,Toyota ,Toyota Yaris,17590,Orange
2008,Audi ,Audi A3,16393,Blue
2008,BMW ,BMW 3-serie,16025,Brown
2008,Toyota ,Toyota Rav4,15841,Black
2008,Peugeot ,Peugeot 308,15841,Red
2008,Nissan ,Nissan X-Trail,10867,Pink
2008,Ford ,Ford Mondeo,41905,Red
2008,Volkswagen ,Volkswagen Golf,32971,Pink
2008,Audi ,Audi A4,30484,Blue
2008,Nissan ,Nissan Qashqai,29656,White
2008,Toyota ,Toyota Auris,29103,Orange
2008,Volvo ,Volvo V70,28642,Black
2008,Volkswagen ,Volkswagen Passat,27629,Pink
2008,Toyota ,Toyota Avensis,25603,Brown
2008,Ford ,Ford Focus,21827,Purple
2008,Audi ,Audi A3,20630,Blue
2008,Skoda ,Skoda Octavia,20261,Red
2008,BMW ,BMW 3-serie,19064,White
2008,Mazda ,Mazda 6,17406,Orange
2008,Volkswagen ,Volkswagen Tiguan,16762,Pink
2008,Mitsubishi ,Mitsubishi Outlander,16577,Red
2008,Toyota ,Toyota Yaris,13262,Orange
2008,Peugeot ,Peugeot 207,12709,Green
2008,Honda ,Honda CR-V,12525,Orange
2008,Nissan ,Nissan X-Trail,11512,Gray
2008,Toyota ,Toyota Rav4,11328,Pink
2008,Ford ,Ford Mondeo,50470,Orange
2008,Volkswagen ,Volkswagen Golf,40247,Green
2008,Audi ,Audi A4,35366,Gray
2008,Toyota ,Toyota Avensis,31866,Black
2008,Toyota ,Toyota Auris,27906,Green
2008,Nissan ,Nissan Qashqai,24682,White
2008,Volvo ,Volvo V70,24590,White
2008,Mazda ,Mazda 6,20998,Pink
2008,Peugeot ,Peugeot 308,20261,White
2008,Ford ,Ford Focus,19340,Blue
2008,Volkswagen ,Volkswagen Passat,18880,Yellow
2008,Volkswagen ,Volkswagen Tiguan,18327,Gray
2008,Mitsubishi ,Mitsubishi Outlander,17867,Blue
2008,Peugeot ,Peugeot 207,17038,Blue
2008,Toyota ,Toyota Rav4,16670,White
2008,Skoda ,Skoda Octavia,15380,White
2008,Toyota ,Toyota Yaris,15104,Black
2008,Honda ,Honda CR-V,13354,Orange
2008,BMW ,BMW 3-serie,12893,Orange
2008,Audi ,Audi A3,11051,Gray
2008,Volkswagen ,Volkswagen Golf,38497,Orange
2008,Audi ,Audi A4,33432,Green
2008,Volkswagen ,Volkswagen Tiguan,32603,Yellow
2008,Ford ,Ford Mondeo,23301,White
2008,Toyota ,Toyota Auris,23116,Red
2008,Volkswagen ,Volkswagen Passat,22564,Brown
2008,Toyota ,Toyota Avensis,20353,Brown
2008,Ford ,Ford Focus,19617,Yellow
2008,Mazda ,Mazda 6,17959,Blue
2008,Nissan ,Nissan Qashqai,17775,Red
2008,Peugeot ,Peugeot 308,17130,Yellow
2008,Peugeot ,Peugeot 207,15104,Gray
2008,Toyota ,Toyota Yaris,12986,Pink
2008,Skoda ,Skoda Octavia,12801,Blue
2008,Mitsubishi ,Mitsubishi Outlander,12433,Black
2008,Audi ,Audi A3,11788,Blue
2008,Honda ,Honda CR-V,11144,Black
2008,Volvo ,Volvo V70,11051,Pink
2008,Toyota ,Toyota Rav4,9025,Yellow
2008,BMW ,BMW 3-serie,7920,Red
2008,Volkswagen ,Volkswagen Golf,36931,Orange
2008,Ford ,Ford Mondeo,30116,Blue
2008,Volkswagen ,Volkswagen Passat,30024,Yellow
2008,Audi ,Audi A4,27537,Orange
2008,Toyota ,Toyota Auris,26985,Blue
2008,Toyota ,Toyota Avensis,23485,Yellow
2008,Ford ,Ford Focus,23116,Orange
2008,Volvo ,Volvo V70,21459,Purple
2008,Volkswagen ,Volkswagen Tiguan,20722,Blue
2008,BMW ,BMW 3-serie,20169,Red
2008,Toyota ,Toyota Rav4,19893,Yellow
2008,Nissan ,Nissan Qashqai,19248,Purple
2008,Mazda ,Mazda 6,18604,Gray
2008,Mitsubishi ,Mitsubishi Outlander,16762,White
2008,Toyota ,Toyota Yaris,16209,Purple
2008,Skoda ,Skoda Octavia,13999,Green
2008,Peugeot ,Peugeot 308,13170,Orange
2008,Audi ,Audi A3,12525,Purple
2008,Honda ,Honda CR-V,11236,Gray
2008,Peugeot ,Peugeot 207,9209,Orange
2008,Volkswagen ,Volkswagen Golf,42273,Blue
2008,Audi ,Audi A4,31037,Red
2008,Volkswagen ,Volkswagen Passat,30761,Purple
2008,Toyota ,Toyota Auris,30577,Blue
2008,Ford ,Ford Mondeo,29656,Purple
2008,Volkswagen ,Volkswagen Tiguan,24314,Brown
2008,Nissan ,Nissan Qashqai,22656,Brown
2008,Toyota ,Toyota Avensis,21090,Yellow
2008,Toyota ,Toyota Rav4,20630,Orange
2008,Peugeot ,Peugeot 308,19801,Black
2008,BMW ,BMW 3-serie,18051,Black
2008,Toyota ,Toyota Yaris,17867,Pink
2008,Ford ,Ford Focus,17683,Yellow
2008,Volvo ,Volvo V70,17038,Brown
2008,Mazda ,Mazda 6,14091,Green
2008,Mitsubishi ,Mitsubishi Outlander,11512,Black
2008,Audi ,Audi A3,11051,Brown
2008,Skoda ,Skoda Octavia,10775,Green
2008,Peugeot ,Peugeot 207,10407,Orange
2008,Honda ,Honda CR-V,8381,Black
2008,Volkswagen ,Volkswagen Passat,31498,Green
2008,Volkswagen ,Volkswagen Golf,28274,Brown
2008,Volkswagen ,Volkswagen Tiguan,26985,Red
2008,Ford ,Ford Mondeo,24958,Blue
2008,Audi ,Audi A4,22840,Red
2008,Toyota ,Toyota Auris,19248,Black
2008,Nissan ,Nissan Qashqai,18788,Purple
2008,Ford ,Ford Focus,16025,Green
2008,Toyota ,Toyota Avensis,15288,Gray
2008,Toyota ,Toyota Yaris,14551,Purple
2008,Peugeot ,Peugeot 308,13354,Pink
2008,Volvo ,Volvo V70,12801,Orange
2008,BMW ,BMW 3-serie,11420,Purple
2008,Skoda ,Skoda Octavia,10775,Blue
2008,Peugeot ,Peugeot 207,10591,Yellow
2008,Mitsubishi ,Mitsubishi Outlander,10130,Green
2008,Mazda ,Mazda 6,10038,Brown
2008,Honda ,Honda CR-V,9394,Pink
2008,Audi ,Audi A3,8565,Blue
2008,Toyota ,Toyota Rav4,7091,Red
2008,Toyota ,Toyota Avensis,41444,Green
2008,Ford ,Ford Mondeo,32142,Green
2008,Volkswagen ,Volkswagen Passat,32050,Brown
2008,Volkswagen ,Volkswagen Golf,29379,Red
2008,Volkswagen ,Volkswagen Tiguan,28735,Pink
2008,Audi ,Audi A4,28642,Gray
2008,Volvo ,Volvo V70,18511,Blue
2008,Nissan ,Nissan Qashqai,18419,White
2008,Honda ,Honda CR-V,18235,White
2008,BMW ,BMW 3-serie,17406,Blue
2008,Ford ,Ford Focus,17314,Purple
2008,Skoda ,Skoda Octavia,16670,Green
2008,Toyota ,Toyota Auris,14551,Purple
2008,Mitsubishi ,Mitsubishi Outlander,13722,Yellow
2008,Volvo ,Volvo V50,13078,Blue
2008,Toyota ,Toyota Rav4,9578,White
2008,Mazda ,Mazda 6,8012,Brown
2008,Audi ,Audi A3,7091,White
2008,Peugeot ,Peugeot 308,6723,Red
2008,Toyota ,Toyota Yaris,4881,Black
2009,Toyota ,Toyota Avensis,36839,Purple
2009,Volkswagen ,Volkswagen Golf,29287,Black
2009,Ford ,Ford Focus,16301,Black
2009,Volkswagen ,Volkswagen Passat,14828,Green
2009,Ford ,Ford Mondeo,14183,Purple
2009,Volvo ,Volvo XC60,12525,Red
2009,Toyota ,Toyota Prius,12433,White
2009,Nissan ,Nissan Qashqai,11972,Orange
2009,Peugeot ,Peugeot 308,11604,Purple
2009,Volvo ,Volvo V50,11604,White
2009,Toyota ,Toyota Auris,11512,Blue
2009,Opel ,Opel Insignia,10775,Orange
2009,Mazda ,Mazda 6,8933,Blue
2009,Skoda ,Skoda Octavia,8473,Brown
2009,Ford ,Ford Fiesta,8381,Gray
2009,Audi ,Audi A4,8196,Black
2009,Toyota ,Toyota Yaris,8104,Orange
2009,Peugeot ,Peugeot 207,7644,Green
2009,Subaru ,Subaru Impreza,7644,Red
2009,Volkswagen ,Volkswagen Tiguan,7367,White
2009,Volkswagen ,Volkswagen Golf,31221,Brown
2009,Volkswagen ,Volkswagen Passat,22564,Purple
2009,Toyota ,Toyota Avensis,20446,Gray
2009,Skoda ,Skoda Octavia,18143,Pink
2009,Toyota ,Toyota Yaris,16301,Yellow
2009,Ford ,Ford Mondeo,15933,Red
2009,Toyota ,Toyota Auris,15564,Gray
2009,Volkswagen ,Volkswagen Tiguan,13170,White
2009,Ford ,Ford Focus,13078,Black
2009,Nissan ,Nissan Qashqai,13078,Orange
2009,Audi ,Audi A4,12709,Orange
2009,BMW ,BMW 3-serie,12433,Blue
2009,Honda ,Honda CR-V,12065,Blue
2009,Mazda ,Mazda 6,11696,Red
2009,Volvo ,Volvo XC60,9486,White
2009,Peugeot ,Peugeot 207,9486,Orange
2009,Peugeot ,Peugeot 308,9302,Yellow
2009,Volvo ,Volvo V50,8841,Black
2009,Opel ,Opel Insignia,7920,Brown
2009,Toyota ,Toyota Prius,6723,Yellow
2009,Volkswagen ,Volkswagen Golf,31682,Black
2009,Ford ,Ford Mondeo,27721,Black
2009,Toyota ,Toyota Avensis,25879,Pink
2009,Mazda ,Mazda 6,22840,Green
2009,Skoda ,Skoda Octavia,21735,Black
2009,Toyota ,Toyota Auris,20722,Black
2009,Honda ,Honda CR-V,19709,Red
2009,Nissan ,Nissan Qashqai,16762,White
2009,Volkswagen ,Volkswagen Passat,16117,Black
2009,Volkswagen ,Volkswagen Tiguan,15841,White
2009,Peugeot ,Peugeot 308,15656,Blue
2009,Audi ,Audi A4,14735,Purple
2009,Opel ,Opel Insignia,14367,Purple
2009,Mitsubishi ,Mitsubishi Outlander,13814,Gray
2009,Hyundai ,Hyundai i20,12986,Orange
2009,BMW ,BMW 3-serie,12157,Green
2009,Toyota ,Toyota Rav4,11972,Yellow
2009,Toyota ,Toyota Yaris,11328,White
2009,Ford ,Ford Focus,10591,Blue
2009,Peugeot ,Peugeot 207,9946,White
2009,Volvo ,Volvo XC60,8104,Red
2009,Volkswagen ,Volkswagen Golf,40615,Gray
2009,Toyota ,Toyota Avensis,35826,Yellow
2009,Skoda ,Skoda Octavia,26340,Green
2009,Peugeot ,Peugeot 308,25235,Gray
2009,Volkswagen ,Volkswagen Tiguan,19432,Gray
2009,Volkswagen ,Volkswagen Passat,18604,White
2009,Ford ,Ford Mondeo,18511,Purple
2009,Opel ,Opel Insignia,18143,Purple
2009,Toyota ,Toyota Auris,18051,Brown
2009,Nissan ,Nissan Qashqai,15288,Purple
2009,Volvo ,Volvo V70,14367,White
2009,Audi ,Audi A4,13630,White
2009,BMW ,BMW 3-serie,12249,Pink
2009,Ford ,Ford Focus,12157,Blue
2009,Peugeot ,Peugeot 207,11788,Yellow
2009,Honda ,Honda CR-V,11512,Green
2009,Toyota ,Toyota Yaris,10223,Blue
2009,Mazda ,Mazda 6,9486,Green
2009,Mitsubishi ,Mitsubishi Outlander,9209,Green
2009,Volvo ,Volvo XC60,8012,Black
2009,Volkswagen ,Volkswagen Golf,46878,Purple
2009,Toyota ,Toyota Avensis,34537,Green
2009,Opel ,Opel Insignia,21827,Red
2009,Skoda ,Skoda Octavia,21367,Yellow
2009,Ford ,Ford Focus,19985,Orange
2009,Ford ,Ford Mondeo,18143,Gray
2009,Volkswagen ,Volkswagen Passat,17775,Red
2009,Volkswagen ,Volkswagen Tiguan,15841,Gray
2009,BMW ,BMW 3-serie,15472,Black
